Year of Survey [Core],Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status,
2010,46.0,1,5,6,12.0,7,
2010,34.0,1,5,6,17.0,7,
2010,29.0,0,3,6,16.0,1,
2010,28.0,0,5,6,19.0,7,
2010,39.0,0,5,6,15.0,8,
2010,33.0,1,5,6,20.0,7,
2010,34.0,0,3,6,12.0,7,
2010,24.0,1,5,6,16.0,7,
2010,30.0,1,5,6,16.0,7,
2010,25.0,1,5,6,16.0,7,
2010,41.0,0,5,6,16.0,7,
2010,37.0,1,1,6,15.0,7,
2010,28.0,1,5,6,13.0,7,
2010,30.0,0,5,6,20.0,8,
2010,34.0,0,1,6,19.0,7,
2010,67.0,1,1,6,16.0,7,
2010,64.0,0,3,6,18.0,3,
2010,80.0,1,5,6,20.0,3,
2010,52.0,1,5,6,13.0,7,
2010,29.0,0,3,1,16.0,7,
2010,24.0,1,2,1,14.0,4,
2010,42.0,0,2,1,20.0,5,
2010,89.0,0,2,1,17.0,3,
2010,61.0,0,2,1,2.0,1,
2010,35.0,1,2,1,12.0,7,
2010,44.0,1,2,1,12.0,7,
2010,60.0,0,2,1,13.0,6,
2010,28.0,1,2,1,14.0,8,
2010,27.0,1,5,1,16.0,8,
2010,38.0,1,5,1,17.0,7,
2010,34.0,0,5,1,16.0,1,
2010,35.0,0,3,1,5.0,8,
2010,29.0,0,3,1,12.0,6,
2010,32.0,0,3,1,6.0,1,
2010,63.0,0,2,1,18.0,7,
2010,52.0,1,6,1,16.0,6,
2010,25.0,0,5,1,16.0,7,
2010,70.0,0,5,1,12.0,3,
2010,35.0,1,1,1,20.0,7,
2010,41.0,0,5,1,17.0,8,
2010,24.0,0,2,1,17.0,8,
2010,60.0,1,5,1,17.0,3,
2010,55.0,1,4,1,12.0,7,
2010,23.0,1,5,1,14.0,1,
2010,68.0,0,5,1,16.0,1,
2010,22.0,0,5,1,16.0,6,
2010,58.0,1,5,1,17.0,5,
2010,55.0,1,5,1,20.0,7,
2010,75.0,1,1,1,16.0,8,
2010,66.0,1,5,1,14.0,7,
2010,76.0,0,5,1,12.0,1,
2010,79.0,1,5,1,12.0,3,
2010,29.0,0,3,1,17.0,7,
2010,60.0,0,5,1,16.0,1,
2010,36.0,0,5,1,14.0,1,
2010,75.0,1,5,1,15.0,3,
2010,35.0,0,5,1,11.0,1,
2010,54.0,1,5,1,14.0,7,
2010,45.0,1,5,1,14.0,7,
2010,58.0,0,5,1,16.0,7,
