Age [Demographic Core],Sex,Highest Grade Completed [Demographic],Race_1,Race_2,Race_3,Race_4,Race_5,Race_6,Region_1,Region_2,Region_3,Region_4,Region_5,Region_6,Region_7,Region_8,Region_9,Employment Status
59.0,1,12.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
32.0,0,18.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7
44.0,1,16.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
49.0,0,20.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
64.0,0,12.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
30.0,0,19.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
51.0,0,12.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
28.0,0,17.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
84.0,1,13.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
32.0,1,14.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7
54.0,0,18.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,2
34.0,0,20.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
33.0,0,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,8
48.0,0,12.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6
52.0,0,10.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,1
47.0,0,14.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,8
54.0,1,16.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
41.0,1,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
23.0,0,17.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
51.0,1,12.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
75.0,0,16.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,3
47.0,0,20.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,1
27.0,1,12.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7
24.0,1,14.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,6
26.0,1,20.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,7
47.0,0,19.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,8
55.0,0,13.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,6
55.0,0,18.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,6
43.0,1,17.0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,7
46.0,0,14.0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,7
71.0,1,16.0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,7
32.0,0,16.0,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,7
63.0,1,17.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,8
50.0,0,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
60.0,1,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
33.0,0,14.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,1
40.0,0,18.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,7
68.0,1,12.0,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,3
71.0,1,18.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
23.0,1,15.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
28.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
49.0,1,12.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
66.0,0,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
36.0,0,20.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
53.0,1,19.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,7
34.0,0,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
58.0,1,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
62.0,1,12.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,6
24.0,0,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
32.0,0,12.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
29.0,1,16.0,0,0,0,1,0,0,0,0,0,0,0,1,0,0,0,7
34.0,1,12.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,7
36.0,0,13.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,6
74.0,1,8.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,3
60.0,1,16.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,7
78.0,1,16.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,8
39.0,0,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,8
73.0,1,16.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
67.0,0,16.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,8
82.0,0,11.0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,3
64.0,0,14.0,0,1,0,0,0,0,0,0,0,0,0,1,0,0,0,3
61.0,0,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
22.0,1,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
27.0,0,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
41.0,1,14.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
49.0,0,6.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1
22.0,1,11.0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,7
