,age,highest_grade,religious,spiritual,party,death_penalty,court_harsh,bar,relatives,income_distribution,tv,spanking,standard_of_living,immigration,gun,tax_approp,affirmative_action,divorce_ease,numb_children,birth_control
67,81.0,16.0,3.0,3.0,1.0,,0.0,0.0,3.0,,1.0,1.0,,2.0,0.0,2.0,0.0,,3.0,0.0
68,47.0,17.0,3.0,2.0,4.0,1.0,2.0,,,4.0,,,4.0,,0.0,2.0,,,,
69,48.0,14.0,3.0,2.0,6.0,1.0,0.0,0.0,2.0,,0.0,2.0,,2.0,0.0,2.0,0.0,0.0,3.0,0.0
70,46.0,16.0,0.0,2.0,3.0,1.0,0.0,2.0,4.0,7.0,1.0,1.0,3.0,3.0,,,0.0,1.0,2.0,1.0
71,68.0,12.0,1.0,1.0,5.0,1.0,0.0,2.0,2.0,2.0,6.0,3.0,3.0,1.0,,,0.0,2.0,4.0,2.0
72,56.0,16.0,1.0,3.0,6.0,0.0,2.0,,,3.0,,,3.0,,0.0,2.0,,,,
73,32.0,13.0,3.0,3.0,5.0,0.0,0.0,0.0,5.0,1.0,2.0,3.0,0.0,2.0,,,0.0,2.0,,3.0
74,23.0,12.0,1.0,1.0,3.0,1.0,2.0,,,3.0,,,4.0,,0.0,2.0,,,,
75,59.0,12.0,0.0,0.0,5.0,0.0,2.0,0.0,1.0,7.0,7.0,2.0,1.0,3.0,,,0.0,0.0,2.0,2.0
76,32.0,18.0,0.0,1.0,5.0,1.0,0.0,4.0,4.0,3.0,2.0,2.0,1.0,2.0,,,1.0,0.0,2.0,2.0
77,44.0,16.0,2.0,3.0,6.0,1.0,2.0,4.0,4.0,,2.0,2.0,,2.0,0.0,0.0,2.0,0.0,2.0,2.0
78,49.0,20.0,0.0,1.0,6.0,1.0,0.0,,,3.0,,,4.0,,0.0,2.0,,,,
79,64.0,12.0,0.0,2.0,6.0,1.0,0.0,5.0,1.0,2.0,2.0,1.0,3.0,3.0,,,0.0,2.0,3.0,3.0
80,30.0,19.0,0.0,1.0,6.0,0.0,2.0,,,3.0,,,3.0,,0.0,2.0,,,,
81,51.0,12.0,2.0,3.0,5.0,1.0,0.0,,,1.0,,,4.0,,0.0,2.0,,,,
82,28.0,17.0,2.0,1.0,5.0,,,0.0,0.0,,4.0,3.0,,2.0,0.0,2.0,2.0,,3.0,2.0
83,84.0,13.0,2.0,2.0,2.0,1.0,0.0,,,5.0,,,4.0,,0.0,1.0,,,,
84,32.0,14.0,0.0,3.0,3.0,0.0,0.0,0.0,1.0,1.0,5.0,3.0,4.0,0.0,,,0.0,0.0,2.0,0.0
85,54.0,18.0,3.0,2.0,6.0,0.0,0.0,0.0,1.0,,1.0,3.0,,2.0,0.0,2.0,2.0,0.0,2.0,0.0
86,34.0,20.0,0.0,3.0,6.0,0.0,2.0,0.0,2.0,,4.0,2.0,,2.0,0.0,2.0,1.0,1.0,3.0,2.0
87,33.0,16.0,0.0,3.0,3.0,0.0,2.0,4.0,2.0,1.0,0.0,1.0,3.0,,,,1.0,,2.0,2.0
88,48.0,12.0,2.0,0.0,6.0,1.0,0.0,2.0,3.0,,1.0,3.0,,0.0,0.0,1.0,0.0,0.0,1.0,3.0
89,52.0,10.0,2.0,0.0,6.0,1.0,0.0,0.0,0.0,4.0,9.0,2.0,3.0,0.0,,,,0.0,2.0,2.0
90,47,14.0,2.0,2.0,5.0,0.0,,,,1.0,,,3.0,,0.0,2.0,,,,
91,54.0,16.0,2.0,2.0,6.0,1.0,1.0,,,4.0,,,3.0,,0.0,2.0,,,,
92,41.0,16.0,2.0,3.0,4.0,0.0,0.0,5.0,3.0,,1.0,3.0,,2.0,0.0,2.0,0.0,0.0,2.0,3.0
93,23.0,17.0,2.0,1.0,5.0,0.0,1.0,4.0,4.0,,2.0,0.0,,2.0,0.0,2.0,0.0,,3.0,2.0
94,51.0,12.0,3.0,3.0,5.0,1.0,0.0,0.0,5.0,2.0,2.0,2.0,3.0,3.0,,,1.0,0.0,2.0,3.0
95,75.0,16.0,1.0,1.0,6.0,,,0.0,6.0,,4.0,2.0,,2.0,0.0,1.0,,0.0,3.0,3.0
96,47,20.0,3.0,3.0,3.0,1.0,0.0,,,3.0,,,4.0,,0.0,2.0,,,,
97,27.0,12.0,1.0,2.0,1.0,1.0,2.0,,,1.0,,,2.0,,0.0,1.0,,,,
98,24.0,14.0,1.0,1.0,6.0,,1.0,1.0,6.0,1.0,5.0,2.0,4.0,1.0,,,0.0,,3.0,0.0
99,26.0,20.0,2.0,2.0,1.0,1.0,1.0,5.0,6.0,,2.0,3.0,,1.0,0.0,2.0,0.0,1.0,2.0,2.0
100,47.0,19.0,0.0,1.0,6.0,0.0,,,,2.0,,,1.0,,0.0,1.0,,,,
101,55.0,13.0,,3.0,1.0,1.0,1.0,0.0,1.0,,2.0,3.0,,1.0,0.0,2.0,0.0,2.0,3.0,0.0
102,55.0,18.0,1.0,3.0,5.0,0.0,2.0,0.0,4.0,1.0,4.0,2.0,2.0,1.0,,,3.0,1.0,2.0,3.0
103,43.0,17.0,2.0,3.0,5.0,1.0,0.0,5.0,2.0,3.0,2.0,2.0,2.0,4.0,,,1.0,2.0,4.0,3.0
104,46.0,14.0,3.0,3.0,6.0,1.0,0.0,,,3.0,,,4.0,,0.0,2.0,,,,
105,71.0,16.0,1.0,3.0,6.0,1.0,,,,1.0,,,4.0,,1.0,1.0,,,,
106,32.0,16.0,0.0,1.0,5.0,0.0,1.0,4.0,3.0,,2.0,1.0,,2.0,0.0,2.0,0.0,2.0,2.0,3.0
107,63.0,17.0,1.0,2.0,2.0,1.0,0.0,,,1.0,,,3.0,,0.0,1.0,,,,
108,50.0,12.0,1.0,3.0,3.0,1.0,1.0,2.0,2.0,,4.0,2.0,,1.0,1.0,2.0,0.0,2.0,4.0,2.0
109,60.0,12.0,2.0,1.0,2.0,1.0,0.0,3.0,2.0,7.0,3.0,3.0,2.0,2.0,,,0.0,1.0,2.0,0.0
110,33.0,14.0,2.0,2.0,5.0,,0.0,0.0,4.0,,3.0,2.0,,1.0,0.0,2.0,1.0,0.0,2.0,3.0
111,40.0,18.0,0.0,1.0,0.0,1.0,0.0,3.0,2.0,6.0,1.0,2.0,3.0,1.0,,,0.0,0.0,2.0,2.0
112,68.0,12.0,2.0,2.0,4.0,1.0,0.0,,,4.0,,,3.0,,1.0,2.0,,,,
113,71.0,18.0,2.0,,1.0,1.0,1.0,1.0,2.0,7.0,1.0,2.0,4.0,1.0,,,1.0,1.0,2.0,0.0
114,23.0,15.0,3.0,3.0,3.0,0.0,0.0,,,7.0,,,4.0,,0.0,1.0,,,,
115,28.0,16.0,0.0,0.0,5.0,1.0,0.0,5.0,4.0,5.0,1.0,1.0,3.0,2.0,,,1.0,0.0,2.0,3.0
116,49.0,12.0,2.0,2.0,4.0,1.0,,0.0,2.0,4.0,4.0,2.0,2.0,2.0,,,0.0,1.0,2.0,3.0
117,66.0,16.0,2.0,2.0,2.0,1.0,1.0,0.0,5.0,5.0,4.0,2.0,0.0,0.0,,,1.0,1.0,2.0,1.0
118,36.0,20.0,2.0,2.0,6.0,0.0,,,,1.0,,,3.0,,0.0,2.0,,,,
119,53.0,19.0,0.0,0.0,6.0,0.0,0.0,4.0,3.0,,1.0,1.0,,2.0,0.0,1.0,3.0,1.0,2.0,3.0
120,34.0,12.0,1.0,2.0,3.0,1.0,0.0,2.0,4.0,1.0,1.0,1.0,1.0,2.0,,,1.0,0.0,3.0,0.0
121,58.0,6.0,1.0,1.0,3.0,0.0,0.0,0.0,1.0,4.0,1.0,2.0,1.0,4.0,,,1.0,1.0,3.0,2.0
122,62.0,12.0,2.0,2.0,0.0,1.0,0.0,,,6.0,,,3.0,,0.0,1.0,,,,
123,24.0,12.0,0.0,1.0,3.0,1.0,0.0,0.0,6.0,,1.0,1.0,,0.0,0.0,2.0,2.0,0.0,3.0,2.0
124,32.0,12.0,0.0,3.0,3.0,1.0,0.0,,,1.0,,,3.0,,0.0,2.0,,,,
125,29.0,16.0,0.0,2.0,4.0,,0.0,4.0,1.0,2.0,2.0,2.0,2.0,2.0,,,0.0,1.0,2.0,0.0
126,34.0,12.0,2.0,3.0,6.0,0.0,1.0,,,4.0,,,2.0,,0.0,1.0,,,,
127,36.0,13.0,1.0,1.0,6.0,0.0,2.0,1.0,6.0,2.0,9.0,2.0,3.0,1.0,,,2.0,0.0,5.0,2.0
128,74.0,8.0,2.0,2.0,5.0,0.0,0.0,,,4.0,,,1.0,,0.0,1.0,,,,
129,60.0,16.0,0.0,0.0,6.0,1.0,0.0,0.0,5.0,,3.0,2.0,,2.0,0.0,0.0,3.0,2.0,2.0,3.0
130,78.0,16.0,3.0,3.0,0.0,1.0,0.0,,,7.0,,,0.0,,0.0,1.0,,,,
131,39.0,14.0,1.0,0.0,5.0,1.0,,1.0,3.0,4.0,3.0,2.0,2.0,1.0,,,0.0,0.0,3.0,2.0
132,73.0,16.0,2.0,2.0,2.0,1.0,,0.0,0.0,4.0,3.0,2.0,1.0,2.0,,,0.0,2.0,2.0,2.0
133,67.0,16.0,1.0,2.0,1.0,0.0,,,,3.0,,,4.0,,0.0,1.0,,,,
134,82.0,11.0,2.0,2.0,5.0,1.0,1.0,,,7.0,,,,,0.0,,,,,
135,64.0,14.0,3.0,2.0,6.0,,1.0,0.0,4.0,1.0,7.0,1.0,4.0,2.0,,,3.0,0.0,5.0,
136,61.0,14.0,2.0,2.0,5.0,0.0,2.0,0.0,1.0,1.0,2.0,1.0,2.0,1.0,,,0.0,0.0,3.0,1.0
137,22.0,6.0,0.0,1.0,2.0,1.0,2.0,3.0,5.0,,4.0,3.0,,3.0,0.0,1.0,2.0,2.0,2.0,3.0
138,27.0,14.0,3.0,3.0,6.0,0.0,0.0,,,4.0,,,4.0,,0.0,1.0,,,,
139,41.0,14.0,2.0,2.0,5.0,,0.0,4.0,5.0,,3.0,2.0,,2.0,1.0,2.0,,0.0,2.0,1.0
140,49.0,6.0,2.0,3.0,4.0,0.0,2.0,,,4.0,,,3.0,,0.0,1.0,,,,
141,22.0,11.0,2.0,1.0,5.0,1.0,1.0,1.0,5.0,,2.0,1.0,,2.0,0.0,2.0,1.0,0.0,3.0,1.0
142,28.0,11.0,2.0,2.0,3.0,0.0,0.0,,,4.0,,,1.0,,0.0,1.0,,,,
143,66.0,14.0,2.0,2.0,5.0,0.0,0.0,0.0,4.0,3.0,0.0,1.0,3.0,1.0,,,1.0,0.0,2.0,1.0
144,35.0,13.0,1.0,2.0,5.0,0.0,0.0,,,3.0,,,4.0,,0.0,2.0,,,,
145,52.0,12.0,2.0,1.0,1.0,0.0,0.0,0.0,3.0,4.0,2.0,0.0,2.0,2.0,,,2.0,0.0,2.0,2.0
146,63.0,14.0,0.0,2.0,6.0,0.0,2.0,,,1.0,,,3.0,,0.0,1.0,,,,
147,31.0,13.0,0.0,1.0,3.0,1.0,0.0,4.0,5.0,1.0,4.0,2.0,3.0,2.0,,,0.0,1.0,2.0,1.0
148,29.0,17.0,2.0,,3.0,1.0,,,,4.0,,,4.0,,0.0,2.0,,,,
149,50.0,17.0,0.0,3.0,5.0,1.0,0.0,4.0,2.0,,2.0,3.0,,2.0,0.0,1.0,1.0,0.0,2.0,3.0
150,47.0,12.0,2.0,2.0,5.0,1.0,0.0,,,2.0,,,4.0,,1.0,2.0,,,,
151,62.0,13.0,0.0,3.0,1.0,1.0,1.0,1.0,4.0,1.0,2.0,2.0,0.0,,,,0.0,1.0,2.0,0.0
152,18.0,13.0,1.0,3.0,4.0,1.0,2.0,0.0,5.0,,3.0,1.0,,2.0,0.0,,0.0,1.0,4.0,3.0
153,28.0,16.0,2.0,2.0,3.0,,,,,4.0,,,4.0,,0.0,1.0,,,,
154,24.0,16.0,2.0,2.0,1.0,0.0,2.0,4.0,4.0,3.0,1.0,0.0,3.0,3.0,,,0.0,1.0,3.0,1.0
155,40.0,16.0,0.0,0.0,5.0,0.0,,,,2.0,,,2.0,,0.0,,,,,
156,24.0,15.0,1.0,1.0,1.0,1.0,0.0,3.0,5.0,,1.0,2.0,,2.0,0.0,2.0,1.0,2.0,4.0,2.0
157,24.0,16.0,2.0,2.0,2.0,1.0,0.0,4.0,2.0,5.0,3.0,1.0,3.0,1.0,,,1.0,2.0,3.0,2.0
158,22.0,11.0,2.0,1.0,3.0,1.0,2.0,3.0,5.0,,1.0,2.0,,2.0,1.0,1.0,0.0,2.0,3.0,3.0
