Age [Demographic Core],Sex,Race,region,Highest Grade Completed [Demographic],Employment Status
43,0,1,6,15,7
57,0,1,6,16,3
34,1,3,6,12,7
30,1,3,6,12,6
28,1,5,6,16,7
23,1,3,6,14,4
29,1,3,4,12,7
57,1,5,4,15,7
67,0,4,4,13,3
27,0,4,4,13,1
43,0,3,4,17,7
42,1,3,4,14,7
30,0,5,4,16,8
55,1,5,4,14,7
53,0,5,4,14,6
18,1,4,4,11,4
40,1,5,4,20,6
25,1,5,4,14,4
54,0,5,4,20,7
52,1,5,4,16,7
25,0,5,1,12,4
28,1,5,1,13,7
74,1,5,1,12,3
89,1,5,1,16,3
77,1,5,1,11,3
24,0,5,1,13,7
72,0,5,1,12,7
84,1,5,1,14,3
57,1,5,1,13,2
49,0,5,1,15,8
51,0,2,1,12,6
53,0,5,1,11,3
65,1,2,1,14,3
55,0,5,1,13,7
57,1,5,1,16,8
38,1,5,1,15,7
49,0,5,1,12,5
54,1,5,1,13,7
21,1,5,1,12,7
20,1,5,1,13,7
66,1,2,8,8,3
43,0,2,8,12,1
55,0,2,8,14,1
28,0,5,8,20,7
45,0,5,8,16,1
81,1,5,8,8,3
45,0,5,8,13,7
62,1,5,8,12,7
62,1,5,8,12,7
29,0,5,8,16,8
31,1,1,8,18,7
32,1,5,8,14,6
41,1,5,8,14,7
30,0,5,8,16,8
64,0,5,8,16,3
50,1,5,8,13,7
22,1,5,8,13,7
22,0,5,8,11,7
54,0,5,8,16,7
76,0,2,7,12,3
66,1,5,7,14,8
64,1,5,7,16,3
56,0,5,7,16,7
19,0,5,7,11,4
45,0,5,7,14,6
47,0,5,7,17,8
20,1,4,7,14,4
44,1,4,7,13,7
24,1,1,7,15,7
49,0,2,7,16,7
48,1,3,7,12,7
47,0,5,7,12,6
75,0,5,7,15,8
76,0,5,7,13,3
37,1,5,7,12,7
43,0,2,7,12,7
41,1,3,7,13,8
24,1,3,7,14,8
43,0,3,7,8,7
66,0,3,7,14,5
47,0,3,7,13,7
50,1,3,7,15,7
57,1,1,7,14,7
56,1,2,7,13,7
22,0,5,7,12,6
61,1,5,7,16,7
87,1,5,7,15,3
32,1,5,7,16,7
42,1,5,7,16,7
89,0,5,7,12,3
55,0,5,6,13,7
62,1,5,6,15,3
51,1,5,6,16,7
27,0,5,6,14,1
36,1,5,6,11,7
34,0,5,6,14,5
36,0,1,6,16,1
29,1,5,6,14,7
42,0,5,6,12,1
51,1,1,6,14,7
25,1,3,6,13,7
81,0,5,6,16,3
22,0,3,6,12,8
45,0,5,6,13,7
61,1,5,6,13,3
79,1,5,3,15,3
63,1,5,3,12,3
60,1,1,3,20,7
54,0,5,3,12,4
21,1,1,3,14,6
67,1,2,3,11,3
61,1,2,3,12,7
51,1,2,3,12,7
72,0,2,3,9,3
63,1,5,3,9,8
78,1,5,3,18,3
45,0,5,3,16,7
48,1,5,3,12,7
79,1,5,3,16,3
30,1,5,3,12,7
32,0,5,3,12,1
30,0,5,3,11,1
44,1,5,3,16,7
42,0,5,3,14,7
64,0,4,3,14,3
42,1,5,3,16,6
42,0,5,7,16,1
46,1,5,7,16,7
26,1,5,7,13,7
63,0,5,7,12,3
45,0,2,7,16,7
33,0,2,7,15,7
27,0,5,7,15,1
50,1,2,7,16,7
68,1,5,7,16,8
55,0,3,7,12,6
58,0,2,7,9,5
42,1,3,7,13,7
63,1,5,7,13,3
27,0,5,7,16,7
71,0,2,7,12,3
38,1,5,7,12,7
77,0,5,7,12,3
48,0,5,7,12,7
74,0,5,7,16,3
56,0,4,7,10,7
23,0,4,2,15,7
51,1,5,2,10,5
47,0,5,2,12,7
49,0,5,2,12,6
36,1,5,2,17,7
38,1,5,2,12,7
22,1,5,2,12,7
46,1,5,2,14,6
63,1,5,1,10,2
19,1,5,1,11,8
52,1,5,1,12,7
35,1,5,1,11,6
64,0,5,1,12,3
49,0,5,1,12,1
45,1,5,1,11,7
55,0,2,1,18,7
62,1,2,1,11,1
31,1,5,9,16,7
54,1,5,9,12,7
21,0,5,9,13,8
23,1,3,9,12,7
34,0,3,9,16,8
45,1,3,9,14,5
28,1,5,9,13,8
34,1,3,9,14,7
74,0,5,9,12,3
25,1,3,9,13,8
39,0,3,9,6,1
38,1,3,9,10,7
80,1,2,9,3,3
34,0,3,9,12,6
71,1,5,9,12,7
33,1,2,9,10,7
37,1,3,9,16,7
41,1,3,9,12,7
32,1,5,1,14,7
35,1,5,1,13,7
61,1,5,1,12,7
57,1,5,1,16,7
71,1,4,1,15,3
39,0,5,1,18,8
30,0,2,1,13,7
42,0,5,1,16,7
48,0,5,1,14,7
32,1,5,1,19,7
42,0,2,1,18,7
37,1,5,1,13,1
29,0,5,1,11,1
74,0,2,1,12,1
47,1,5,1,12,7
41,1,5,1,16,7
71,1,5,1,15,3
31,0,5,1,12,7
33,0,5,1,14,7
32,1,5,1,20,8
48,1,5,1,13,7
50,0,5,1,18,5
40,1,5,1,11,7
27,0,5,1,13,1
40,1,2,1,9,1
49,0,4,1,16,7
30,1,4,1,12,7
22,0,5,1,16,8
21,0,5,1,14,4
21,0,5,1,14,8
23,1,5,1,16,4
67,1,5,1,12,3
34,0,4,1,13,1
18,1,5,1,12,7
76,0,5,1,12,3
28,1,5,4,12,7
84,0,5,4,13,3
31,1,5,4,9,5
25,1,2,4,13,7
38,1,5,4,12,8
37,0,5,4,12,8
66,1,5,4,15,3
72,1,5,4,12,8
24,0,5,4,14,7
42,1,3,4,9,7
48,0,5,4,11,7
39,1,6,4,12,7
59,0,2,4,12,8
63,1,3,4,14,3
61,1,5,4,13,7
48,0,5,4,12,1
39,0,5,4,12,7
32,1,5,4,16,7
32,0,5,4,12,7
27,1,2,1,14,8
53,1,5,1,12,7
88,0,5,1,12,3
86,0,5,1,16,8
44,1,2,1,16,7
37,1,5,1,14,7
31,0,5,1,12,6
57,1,5,1,12,6
63,0,5,1,12,7
47,0,5,1,20,1
41,0,6,1,18,7
31,0,5,1,12,7
65,1,5,1,12,3
79,0,5,1,16,3
65,0,5,1,14,3
38,1,5,1,18,7
65,0,5,1,14,8
19,0,5,1,12,8
58,1,5,1,16,7
31,0,5,1,16,7
36,0,3,4,12,8
29,0,5,4,16,1
37,0,3,4,17,7
42,0,5,4,17,7
26,0,5,4,15,4
24,1,4,4,12,7
75,1,5,4,12,3
40,1,5,4,20,7
30,1,4,4,11,7
65,1,5,4,16,7
56,0,5,4,18,8
40,1,5,4,16,7
64,1,5,4,16,3
29,1,5,2,14,7
49,0,5,2,12,7
32,1,5,2,12,7
55,0,5,2,13,7
55,1,5,2,14,7
83,1,5,2,12,3
35,1,5,2,18,7
42,1,5,2,11,7
39,0,5,2,14,1
23,0,5,2,15,4
58,0,2,2,12,7
50,0,5,2,12,7
45,0,5,2,17,7
77,0,5,2,9,3
34,0,5,2,20,7
32,0,5,2,14,1
61,0,5,2,12,7
69,0,5,2,18,3
56,1,5,5,14,7
43,1,5,5,12,7
20,1,2,5,12,4
30,1,3,5,8,8
57,1,5,5,13,7
24,1,1,5,16,4
57,0,3,5,16,7
22,0,5,5,15,8
23,1,5,5,13,8
50,1,5,5,12,5
71,0,5,5,12,8
25,1,5,5,16,7
43,0,5,5,13,7
84,0,5,5,12,3
29,1,5,5,16,7
21,0,5,5,13,7
34,0,5,5,18,7
83,0,5,5,10,3
77,0,5,5,7,3
28,0,5,5,16,7
78,0,5,5,13,1
61,1,5,3,14,3
62,1,5,3,17,7
40,0,4,3,8,7
27,1,5,3,12,7
59,1,5,3,16,7
22,1,5,3,16,7
60,1,5,3,20,1
61,0,5,3,16,1
31,0,2,3,16,5
38,0,5,3,18,7
26,0,5,3,16,7
78,0,5,3,11,1
39,0,5,3,20,7
40,1,3,3,17,7
52,1,5,3,13,7
70,1,5,3,20,3
41,0,5,3,16,7
58,1,5,3,16,3
29,1,5,3,9,5
34,1,5,3,15,4
84,1,5,3,10,3
54,0,5,3,10,5
33,1,4,3,14,8
26,0,3,3,14,7
59,0,2,3,13,1
46,1,5,3,12,7
88,1,5,3,8,3
46,0,5,3,10,1
23,1,5,3,15,4
24,1,5,3,16,8
63,0,5,3,12,3
67,0,5,3,17,7
28,0,5,3,19,7
30,0,5,3,16,8
19,1,5,3,11,8
42,0,5,3,12,7
57,1,5,3,14,7
64,1,5,3,18,3
63,1,5,3,14,8
22,0,5,3,14,8
28,1,5,3,12,7
28,1,3,3,8,7
51,1,2,3,13,6
37,0,4,3,16,7
37,0,3,3,14,7
28,0,2,3,11,5
60,0,5,3,12,1
31,1,5,3,12,6
57,0,2,3,12,3
30,1,5,3,20,7
51,0,5,3,16,7
31,0,5,3,18,7
49,1,5,3,14,7
19,0,5,3,12,8
48,1,5,3,12,7
33,0,5,3,17,5
46,0,5,3,12,7
31,0,5,3,12,7
35,1,5,3,12,8
42,0,5,3,9,8
30,0,5,3,14,7
38,0,4,7,11,6
52,0,5,7,15,7
49,0,2,7,12,2
62,0,5,7,12,1
54,0,5,7,12,2
30,0,2,7,16,6
53,1,5,7,11,7
40,0,5,7,17,8
67,1,5,7,18,3
78,1,5,7,18,3
66,0,5,7,12,3
57,0,5,7,12,7
42,1,5,7,11,7
32,1,5,7,16,7
20,0,5,7,12,8
61,1,5,7,15,7
55,1,4,7,9,1
23,1,5,7,10,8
33,1,5,7,9,2
62,0,5,7,9,2
59,0,5,7,12,2
62,1,5,7,17,3
65,0,5,7,12,8
30,1,4,7,16,7
32,0,5,7,14,8
40,0,5,7,12,1
53,1,5,7,20,7
72,0,5,7,17,3
26,0,5,7,16,7
33,1,4,7,14,7
65,0,5,7,12,7
40,0,4,7,12,1
32,1,1,7,20,4
52,1,4,7,10,2
50,0,5,7,12,7
73,0,5,7,14,3
53,0,5,7,16,7
72,0,5,7,14,1
66,1,5,7,16,7
89,1,5,7,20,3
63,0,2,7,14,3
26,0,5,7,16,7
43,1,3,7,6,8
56,1,2,7,13,7
69,0,2,7,14,3
27,0,5,7,14,7
43,0,5,7,16,1
82,0,5,7,10,3
53,0,2,7,12,7
39,0,2,7,15,7
63,0,5,7,10,2
38,0,2,7,13,7
41,0,5,7,11,1
68,0,2,7,16,3
77,1,5,7,12,3
30,0,1,7,17,1
27,1,2,7,11,7
49,1,4,7,8,8
36,1,5,7,14,1
67,1,5,7,8,3
70,1,2,7,12,3
43,0,5,7,11,8
35,0,2,7,14,7
27,0,2,7,14,8
32,0,2,7,12,6
40,0,2,7,12,7
54,0,5,7,12,6
73,0,2,7,14,3
55,0,4,7,12,1
23,0,2,7,12,4
21,1,2,7,12,6
20,1,3,7,15,8
47,0,5,7,13,8
62,1,5,7,16,7
31,1,5,7,15,6
64,1,5,7,12,3
52,0,2,7,16,1
56,1,4,7,12,7
30,1,2,7,12,7
73,1,5,7,14,3
68,1,5,7,14,3
69,1,5,7,16,3
59,0,5,7,12,3
39,1,2,7,11,2
57,0,2,7,11,3
29,1,2,7,12,6
19,0,4,7,10,1
30,1,5,7,10,7
38,0,5,7,12,7
28,1,5,7,12,7
41,0,5,7,14,3
56,1,2,7,16,7
24,1,5,7,16,8
58,0,2,7,14,7
28,1,2,7,16,8
55,0,5,7,12,3
41,0,5,7,14,7
29,1,2,7,14,6
64,0,3,7,13,3
41,0,5,7,14,7
39,1,5,7,8,6
29,1,5,7,13,7
54,1,2,7,13,3
47,0,5,7,14,7
44,0,4,7,12,5
60,0,5,7,15,1
60,1,5,7,14,5
53,1,5,7,16,7
19,1,5,7,8,7
46,0,5,7,12,7
84,1,5,7,13,3
35,0,5,7,16,8
60,0,5,7,14,3
46,0,5,7,12,7
26,1,5,7,8,7
31,1,5,7,16,6
67,0,5,7,14,3
88,1,5,7,15,3
40,0,5,7,18,7
70,0,5,7,16,3
44,0,5,7,9,1
39,1,4,7,14,7
65,1,5,7,12,3
33,0,2,7,11,7
63,1,5,7,17,2
31,1,2,7,13,7
71,0,5,7,12,3
32,1,2,7,12,7
52,0,4,7,14,7
77,0,5,7,12,3
42,1,5,7,12,7
52,0,5,7,16,8
70,0,5,2,16,3
23,0,5,2,8,1
84,1,5,2,16,3
30,1,5,2,12,7
59,1,2,2,11,2
61,0,5,2,12,1
37,1,5,2,12,6
41,0,5,2,12,7
55,0,4,2,12,3
31,0,5,2,14,1
21,1,5,2,10,6
28,0,5,2,12,7
35,1,5,2,16,7
52,1,5,2,16,7
63,1,2,2,20,7
46,0,2,2,12,4
64,1,5,2,14,7
29,0,2,2,13,8
41,0,4,2,19,7
60,0,2,2,16,6
38,1,5,2,8,1
81,0,5,2,10,1
52,1,5,2,12,2
46,1,5,2,15,7
27,1,5,2,12,6
43,1,5,2,16,7
48,0,5,2,12,1
37,0,2,2,12,2
55,1,3,2,20,7
19,1,5,2,11,4
37,0,2,2,18,7
47,0,5,2,13,3
37,0,5,2,17,5
47,0,2,2,20,7
77,0,2,2,11,1
21,1,5,2,11,7
71,0,2,2,15,3
59,0,2,2,18,8
